NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
LT011,-0.015491098108328367,-0.023367003648409962,-0.01239237854514958,-0.004370564182911454,34,0.294,1.0,0.479,0.141,1
LT021,-0.021306023203494503,-0.030384488722088345,-0.016700029897661728,-0.007441411821048625,44,0.432,0.409,0.398,0.07,1
LT022,-0.012994133270597109,-0.02223729684430306,-0.012098593157701832,-0.003511410173044111,26,0.308,0.386,0.681,0.081,1
LT023,-0.007920979598233424,-0.011317800563586201,-0.006197384421171095,-0.0020196535780718523,18,0.056,1.0,0.378,0.021,1
LT024,-0.04329251364259924,-0.06238582511503661,-0.024583322349837865,-0.008966272700087676,95,0.579,1.0,0.997,0.577,3
LT025,-0.08981283223049011,-0.16955801701400366,-0.05615943022681212,-0.014282742546399682,84,0.679,1.0,1.0,0.679,4
LT026,-0.12698975422020095,-0.22529240420078875,-0.1443862477639209,-0.017104276305034912,72,0.694,1.0,0.864,0.6,3
LT027,-0.17659453548902,-0.2729188939176145,-0.2135699926323399,-0.020069745946143885,61,0.738,0.976,0.553,0.398,2
LT028,-0.428883131818492,-0.5211779258875442,-0.3220346816279121,-0.22904016375733005,28,0.929,1.0,0.01,0.009,1
LT029,-0.034850427412566526,-0.055811662841651274,-0.0180060285572074,-0.005224881390525342,72,0.486,1.0,0.96,0.467,3
