NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BE100,-0.08604762995358582,-0.11499019333146539,-0.062482488091902495,-0.03628467357803306,115,0.817,0.281,0.921,0.211,2
BE211,-0.0861778319498874,-0.11338537970191624,-0.06273953158268276,-0.033498935415188086,115,0.783,0.401,0.365,0.115,1
BE212,-0.08411246799369165,-0.11670130423873963,-0.059604421040113355,-0.027394017006008527,115,0.722,0.095,0.783,0.054,1
BE213,-0.08254870603795193,-0.11446326180049839,-0.058500471777998206,-0.02934701086299083,120,0.758,0.057,0.666,0.029,1
BE224,-0.0812498770824024,-0.11967988945823019,-0.0561028268754678,-0.02863031838332663,113,0.743,0.949,0.613,0.432,3
BE225,-0.084284258799733,-0.1119700847334014,-0.0580145681988377,-0.026609784575743256,114,0.728,1.0,0.787,0.573,3
BE223,-0.09264901426238172,-0.11780277961614824,-0.06379880873593648,-0.03216412971542025,109,0.78,1.0,0.01,0.008,1
BE231,-0.08385248234006566,-0.11749141876430205,-0.06393020594965675,-0.03175057208237985,115,0.791,0.876,0.329,0.228,2
BE232,-0.0756689527980633,-0.1134610715412474,-0.055350073348424636,-0.024605525048232588,123,0.715,0.675,0.383,0.185,1
BE233,-0.07264864396011937,-0.09867009867009868,-0.05248105248105249,-0.029279279279279286,122,0.762,0.754,0.678,0.39,2
BE234,-0.07763717758763602,-0.10885649393931911,-0.0528592941607976,-0.024704724756567657,118,0.72,0.555,0.671,0.268,2
BE235,-0.07582383072430467,-0.09880798506390924,-0.05407152089616546,-0.028507827086026134,120,0.733,0.775,0.72,0.409,3
BE236,-0.07779621352673302,-0.1053935860058309,-0.05856049562682217,-0.030758017492711384,121,0.769,0.722,0.715,0.397,2
BE241,-0.07748273238890467,-0.11624549992173777,-0.057063794346181876,-0.02689781078318271,120,0.717,0.89,0.649,0.414,3
BE242,-0.08641944717294187,-0.12595696450466812,-0.06400686468006553,-0.03199594282001114,115,0.765,0.709,0.62,0.336,2
BE251,-0.07442992667827035,-0.10674938017257063,-0.05530203669149787,-0.029666945743788142,124,0.75,1.0,0.62,0.465,3
BE252,-0.06821699961283093,-0.0906888720666162,-0.051021953065859216,-0.025132475397426197,131,0.725,1.0,0.63,0.457,3
BE253,-0.06838629529172201,-0.09916891255514712,-0.05144889157902702,-0.025111337801629555,128,0.688,0.518,0.666,0.237,2
BE254,-0.07158189869520946,-0.10530085959885385,-0.05444126074498568,-0.025931232091690543,121,0.727,0.09,0.951,0.062,1
BE255,-0.09527870383387224,-0.13759464181712291,-0.07542224810716366,-0.036546301688992436,116,0.81,1.0,0.649,0.526,3
BE256,-0.07007681883619846,-0.09451970555313519,-0.05427673088630076,-0.02842080649231917,126,0.73,0.935,0.668,0.456,3
BE257,-0.0734421840278129,-0.10562698741877506,-0.05599336374948154,-0.02689064012166459,123,0.724,0.866,0.71,0.445,3
BE258,-0.06611253347110406,-0.08364432126365996,-0.052863299982060574,-0.02539900172309046,124,0.685,0.914,0.648,0.406,3
BE310,-0.08120760804620346,-0.10707823181869144,-0.06112521660888064,-0.031713597999463536,115,0.783,0.074,0.956,0.055,1
BE32A,-0.07873169193822079,-0.10309395126055859,-0.05834296030404812,-0.02876869520189904,114,0.746,0.101,0.965,0.073,1
BE32B,-0.08102082437099044,-0.11012662468176336,-0.0635803296261557,-0.03132118451025058,114,0.789,0.208,0.438,0.072,1
BE323,-0.07891564837507183,-0.10672981056829511,-0.05917960404500783,-0.024497934767127187,116,0.681,0.43,0.982,0.288,2
BE328,-0.07623806344070046,-0.10042837589473638,-0.05243560552258056,-0.027828830418669914,116,0.724,0.553,0.888,0.356,2
BE32C,-0.07774003259910427,-0.10574950809810468,-0.0597300492528522,-0.02684120306740692,117,0.726,0.313,0.86,0.195,1
BE32D,-0.07580673773435301,-0.09952619322854814,-0.06058152364250148,-0.028314299432186735,116,0.733,0.888,0.623,0.406,3
BE331,-0.09124673280877071,-0.12507234790021898,-0.06560603550678379,-0.03737911713844736,110,0.809,0.776,0.139,0.087,1
BE332,-0.08451713225981376,-0.10548307931173537,-0.05731638192383694,-0.03221011057756125,111,0.784,0.862,0.823,0.556,3
BE334,-0.10397768192584385,-0.14720614579027144,-0.07013917596803086,-0.03451839603141794,106,0.764,0.725,0.957,0.53,3
BE335,-0.09129581747407933,-0.11865877959840224,-0.06103185854499175,-0.03173547314255133,106,0.774,0.825,0.979,0.625,4
BE336,-0.09129581747407933,-0.11865877959840224,-0.06103185854499175,-0.03173547314255133,106,0.774,0.799,0.618,0.382,2
BE341,-0.07073700651210267,-0.0871143945418777,-0.056383680046879575,-0.031817682390858484,124,0.766,0.954,0.897,0.655,4
BE342,-0.07685141751500355,-0.09586466816942937,-0.05182653835799876,-0.029662617834196214,120,0.758,0.869,0.623,0.41,3
BE343,-0.08216297636402552,-0.108560721395948,-0.0500644103525003,-0.03150251785923411,116,0.784,0.895,0.864,0.606,4
BE344,-0.07447089365865316,-0.1024743206406399,-0.0521496146917062,-0.03069379073562286,123,0.772,0.175,0.916,0.124,1
BE345,-0.0760379132337796,-0.09908425961186117,-0.056064699387590386,-0.03370348548970017,121,0.793,0.556,0.772,0.34,2
BE351,-0.0781864016041603,-0.10308977699370157,-0.0577130968161019,-0.03500198549192661,120,0.792,0.891,0.061,0.043,1
BE352,-0.08832568209213963,-0.11394543218433814,-0.06368238701479002,-0.03768840239674737,115,0.817,0.865,0.133,0.094,1
BE353,-0.07782394413706234,-0.10467437933907939,-0.05821806602724032,-0.031134482090224798,116,0.784,0.046,0.723,0.026,1
BE329,-0.0739701049954111,-0.10729152678931111,-0.06015845306834965,-0.023365113468510793,121,0.686,0.924,1.0,0.634,4
