NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
RS110,-0.8410967659120842,-1.1883487474142513,-0.5890819790896257,-0.2271699658596116,17,1.0
RS121,-0.04609132435166188,-0.08183303977919193,-0.03357925290171823,-0.00892353489477133,66,0.561
RS122,-0.022765394598772914,-0.02747162022032996,-0.01647914761706089,-0.009786242280910963,73,0.288
RS123,-0.1603892928412229,-0.23890263389172198,-0.10186233683436874,-0.046706865315471996,63,0.873
RS124,-20.820131583345024,-20.820131583345024,-20.820131583345024,-20.820131583345024,1,1.0
RS125,-0.36952381117634453,-0.5974756459412087,-0.26488346028323817,-0.0879475711665885,34,0.941
RS126,-0.02383766080732554,-0.03603943439185398,-0.01586594729030058,-0.007932530724366045,110,0.373
RS127,-0.019901615296780042,-0.029195111675925492,-0.01758489132599645,-0.004325304817621271,36,0.361
RS211,-0.02673855815764496,-0.045074037601148476,-0.018914645957022733,-0.008383441843746458,24,0.375
RS212,-0.0545365091987307,-0.08528197731495375,-0.028847933207870116,-0.011169980942443402,112,0.545
RS213,-0.35067825190219715,-0.41228764180961314,-0.3006895291807993,-0.25468705660384305,37,0.973
RS214,-0.3948582843255262,-0.5193742917454909,-0.32751307612549885,-0.26097352769374904,33,0.939
RS215,-0.268161281439593,-0.3558550813012057,-0.20019135274234892,-0.0780410632678839,43,1.0
RS216,-0.02507660677909649,-0.03372046390141142,-0.01694028031419435,-0.005629278994618627,100,0.37
RS217,-0.0405937075933317,-0.06259220263099743,-0.027234818844349223,-0.010094448351634287,110,0.518
RS218,-0.6369582242301268,-0.6982756866313078,-0.42486231742578884,-0.2610855696178002,21,1.0
RS221,-0.016643048979765422,-0.023529393183515077,-0.01240997483169278,-0.006188080313503994,55,0.255
RS222,-0.08188638676826954,-0.1040195089026611,-0.04512408808169111,-0.022197826270100543,91,0.736
RS223,-0.05261289049935874,-0.07866658654371718,-0.030002240184757334,-0.016699400805706175,108,0.583
RS224,-0.4560077129352046,-0.6042547547451163,-0.27309149196409443,-0.0766933825530611,29,0.966
RS225,-1.609329419206523,-2.3358073420672003,-1.8304972620660338,-0.8155942655346777,10,1.0
RS226,-0.022073091810950417,-0.03218453367158042,-0.018392619781814147,-0.010869044156480188,74,0.378
RS227,-0.06419256374912687,-0.09500571176638076,-0.02939503840429173,-0.014161783908118864,118,0.568
RS228,-0.0922965959263194,-0.14150781606449392,-0.059480095232072254,-0.021520909173675395,90,0.7
RS229,-0.11122041245790917,-0.17055903925938184,-0.07519527324749523,-0.026039648389930205,80,0.75
