NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
FR101,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817
FR102,-0.06678233688203142,-0.09203060402459287,-0.05277942501020972,-0.0316298929796197,125,0.792
FR103,-0.0765944348640453,-0.10662928605955325,-0.054050769885283054,-0.030035880232556274,116,0.759
FR104,-0.07452881157757889,-0.1029214447964739,-0.0543143815538457,-0.030433109002694508,116,0.784
FR105,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817
FR106,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817
FR107,-0.07512418947137048,-0.10292614573030004,-0.05585229146060006,-0.0365150016485328,120,0.817
FR108,-0.07953423239176133,-0.10372248422781627,-0.05504149919739183,-0.03014509164665331,113,0.761
FRB01,-0.07752724775196254,-0.10581778878420726,-0.05553696503454157,-0.032018764476426445,114,0.772
FRB02,-0.08341065028610672,-0.11618021527429914,-0.05650526677546909,-0.029153977758431045,111,0.748
FRB03,-0.08858661313999892,-0.12087933923141816,-0.058900532200717955,-0.032241448283055266,108,0.787
FRB04,-0.09029398679527015,-0.12508286443293912,-0.058801925407923825,-0.02473356942130162,106,0.689
FRB05,-0.08328731707124586,-0.11797106346396845,-0.054651554647786794,-0.025434916154640066,110,0.709
FRB06,-0.0780526339089044,-0.1053425600695135,-0.05530948471169824,-0.026793801223849605,113,0.743
FRC11,-0.07322627669655697,-0.0993008282281666,-0.05474209410221333,-0.02512731189314297,115,0.704
FRC12,-0.07720149554562715,-0.09838229277365813,-0.05781723128631439,-0.02352968292866182,110,0.727
FRC13,-0.0730153480205397,-0.09542330280107306,-0.04838678492882519,-0.019365347898591005,109,0.67
FRC14,-0.07742663702819212,-0.10888601745656992,-0.05576234635278323,-0.029604747621709535,111,0.757
FRC21,-0.0729572201594155,-0.09603582963904768,-0.05479863284981517,-0.02731894280326401,115,0.73
FRC22,-0.07599601243442093,-0.10554260236342507,-0.05353036511920021,-0.030240236291272198,115,0.757
FRC23,-0.07416109286143696,-0.09551406658478065,-0.06061117734080686,-0.031922113543029824,116,0.784
FRC24,-0.08205147872078317,-0.10922270968386008,-0.05717814691271482,-0.03265381084559341,114,0.763
FRD11,-0.07778023286506013,-0.10971242823813146,-0.06141243085956957,-0.027636183710383514,116,0.741
FRG02,-0.09500271995967562,-0.12731168035965243,-0.07267199843483825,-0.03505998958476918,103,0.835
FRG03,-0.08367878272233914,-0.12092943655036967,-0.06292156220313327,-0.027577421014000673,115,0.739
FRG04,-0.08723031234809002,-0.1159583978511998,-0.05442154776297916,-0.02272706973450983,113,0.726
FRG05,-0.09683415082387234,-0.14032021095532843,-0.06575677552796075,-0.033218022789891846,106,0.802
FRH01,-0.07932269067752584,-0.10905457677939848,-0.05663524643347221,-0.03039472703327286,114,0.781
FRH02,-0.07241579371105766,-0.09025376584629494,-0.054063725240441875,-0.02899189186307048,117,0.752
FRH03,-0.08731096469898524,-0.12217304493069431,-0.06100840504905454,-0.03340496537226903,112,0.821
FRH04,-0.07673862336654519,-0.10595513499324723,-0.057341507749881934,-0.0295698295023783,120,0.775
FRI11,-0.09116091689345082,-0.11876702108439781,-0.06624111366762607,-0.03061465173033153,111,0.775
FRI12,-0.09350342018913627,-0.11414924452793415,-0.06406211892133998,-0.020755093703487625,115,0.704
FRI13,-0.08215727013945322,-0.11688656860830587,-0.06259961221670643,-0.029437793562465547,115,0.765
FRI14,-0.09323799972362017,-0.12730357894370134,-0.06768004907085444,-0.04077257357284406,110,0.8
FRI15,-0.081191861245794,-0.10823151417143563,-0.06622917668590744,-0.026900329681231773,114,0.711
FRI21,-0.09258730602271842,-0.12967462504223962,-0.06852005406669959,-0.03579092043357334,104,0.817
FRI22,-0.08217622558690464,-0.10270560692773915,-0.06575063815501603,-0.03443331160311851,112,0.795
FRI23,-0.09531772842959582,-0.13609484664936067,-0.0703306172483415,-0.032682494471685426,106,0.783
FRI31,-0.09300152898355245,-0.11873380089297317,-0.062432869278828226,-0.027100350657060738,110,0.736
