NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SI031,-0.1793451048819312,-0.26079514914918456,-0.2126089660050432,-0.05139910107344603,59,0.847
SI032,-0.12783772515231892,-0.20004116604139627,-0.14071651485439612,-0.02867135751852513,68,0.735
SI033,-0.6466016309193342,-0.8285411677390081,-0.4030829789961704,-0.36823064593494464,24,1.0
SI034,-2.1019931101226144,-1.9711667176348568,-1.334427262673883,-0.978770362620065,9,0.889
SI035,-0.032337645004217666,-0.045274049434945764,-0.0217217787679488,-0.010563884911908855,97,0.412
SI036,-24.160905593170153,-24.160905593170153,-24.160905593170153,-24.160905593170153,1,1.0
SI037,-0.06238917144974572,-0.10644241201288691,-0.04508851152397555,-0.011946360365674046,70,0.614
SI038,-0.2614713520909617,-0.33549004992148745,-0.28939070123118515,-0.15802247268699088,48,0.792
SI041,-0.023671510820041788,-0.03327858024468468,-0.01609674547945973,-0.007344537537127257,100,0.29
SI042,-0.0106492474878212,-0.01221145369799931,-0.0106492474878212,-0.009087041277643091,2,0.05
SI043,-0.012586661804516001,-0.0158404267830044,-0.010779856398685589,-0.0047067181023323496,22,0.091
SI044,-0.024439004467402735,-0.033497421597435906,-0.01962381246796107,-0.008480455600448841,104,0.308
