NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CZ010,-0.07864578853613013,-0.09973554321930533,-0.06563306241711978,-0.03413596536224119,110,0.836
CZ020,-0.06818355483166401,-0.087480618939901,-0.05155882742193028,-0.029472729962103705,120,0.792
CZ031,-0.08903362625316416,-0.11567839017607774,-0.06836572276024233,-0.04055034465801717,110,0.864
CZ032,-0.08395953673891175,-0.0939891041774058,-0.061873662983460115,-0.038854646514066137,109,0.807
CZ041,-0.08285342302733302,-0.11503444435485495,-0.060399070733133095,-0.03169938922372956,108,0.787
CZ042,-0.0733073442516121,-0.08993916255234474,-0.05480498284421456,-0.033270127808046016,118,0.822
CZ051,-0.08007943009988974,-0.09968066691196523,-0.054462075637733434,-0.034811922025926166,118,0.822
CZ052,-0.08474209945280979,-0.11167483843023807,-0.055250695678251235,-0.039111958600664354,117,0.872
CZ053,-0.07341408977580954,-0.08989615311927548,-0.05530718795712495,-0.032745584442833986,118,0.839
CZ063,-0.08338713238572158,-0.10562582787008934,-0.06248620915142268,-0.037944367129994466,107,0.85
CZ064,-0.07007288648764565,-0.10281497089127767,-0.052665977930972954,-0.027811578244268314,119,0.756
CZ071,-0.07503179023669551,-0.11137030921650477,-0.05950502242371877,-0.026255020916867558,123,0.748
CZ072,-0.0712563537618148,-0.09835608577567514,-0.057719582533166836,-0.033119285398333476,123,0.805
CZ080,-0.0749297005086673,-0.10276189450114016,-0.06052046118167385,-0.028044392261840634,121,0.777
